text,category
recharged my takeout food with 612,Food
paid 288 rs for sports match ticket,Entertainment
bought band-aids for 560 rs,Health
purchase of movie tickets - 453,Entertainment
bought book for 8480 rs,Shopping
paid 914 rupees for software license,Other
recharged my bank fee with 429,Other
"paid for gift for anniversary, amount was 70",Gifts & Donations
house rent 5688 rupees,Utilities
"paid for salon visit, amount was 349",Personal Care
recharged my maintenance fee with 14313,Utilities
online course fee 9570 inr,Education
spent 836 on Spotify premium,Entertainment
paid 410 rs for pastries,Food
pen and notebooks 6443 inr,Education
"paid for donation to charity, amount was 634",Gifts & Donations
purchase of salon visit - 954,Personal Care
monthly online course fee payment of 229,Education
recharged my skincare products with 4749,Shopping
dinner with friends cost 857,Food
paid 3970 for dental checkup,Health
spent 55 on amusement park entry,Entertainment
recharged my bank fee with 964,Other
monthly vegetables payment of 462,Food
recharged my donation to charity with 716,Gifts & Donations
new shirt cost 4000,Shopping
paid 615 for donation to charity,Gifts & Donations
courier charges 110 rs,Other
monthly lab test payment of 2864,Health
paid 14693 inr for exam fee,Education
monthly mobile phone payment of 6931,Shopping
bought furniture for 6914 rupees,Shopping
just got car service for 5175 rupees,Transport
electricity bill 13258 rupees,Utilities
paid 277 for pizza,Food
"paid for medicines, amount was 860",Health
bought house rent for 9855 rs,Utilities
monthly jeans payment of 13731,Shopping
amusement park entry 735 rupees,Entertainment
purchase of electricity bill - 5139,Utilities
bought snacks for 456 rs,Food
recharged my taxi fare with 12811,Transport
just got donation to charity for 676,Gifts & Donations
monthly snacks payment of 782,Food
recharged my new shirt with 8496,Shopping
purchase of postage stamp - 778,Other
recharged my band-aids with 887,Health
magazine subscription 939 inr,Other
purchase of snacks - 198,Food
just got headphones for 1073 rupees,Shopping
spent 13270 on exam fee,Education
"paid for birthday gift, amount was 840",Gifts & Donations
spent 513 on fruits,Food
"paid for band-aids, amount was 4407",Health
laptop cost 6037,Shopping
spent 190 on lunch,Food
laptop 6718 rupees,Shopping
just got wedding present for 687 rs,Gifts & Donations
bought textbooks for 1030 inr,Education
monthly gift payment of 1358,Shopping
taxi fare cost 10690,Transport
"paid for watch, amount was 14330",Shopping
phone recharge 9674 rupees,Utilities
just got birthday gift for 901,Gifts & Donations
just got sunglasses for 13411,Shopping
bought exam fee for 11111,Education
"paid for magazine subscription, amount was 853",Other
purchase of vitamins - 2125,Health
"paid for gift for anniversary, amount was 534",Gifts & Donations
udemy course 9026,Education
"paid for flight ticket, amount was 8626",Transport
gift for anniversary cost 334,Gifts & Donations
concert tickets cost 772,Entertainment
amusement park entry 406,Entertainment
recharged my broadband payment with 8921,Utilities
monthly watch payment of 7772,Shopping
just got takeout food for 319 inr,Food
bought video game for 274 inr,Entertainment
recharged my Spotify premium with 834,Entertainment
recharged my shampoo with 220,Personal Care
just got postage stamp for 899 inr,Other
just got home decor for 1786 rs,Shopping
contribution to fundraiser 763,Gifts & Donations
salon visit 642 inr,Personal Care
spent 340 on home repair,Other
recharged my protein powder with 215,Personal Care
bought doctor's visit fee for 119 rs,Health
recharged my home decor with 8854,Shopping
paid 571 for dinner with friends,Food
recharged my haircut with 342,Personal Care
paid 929 inr for laundry service,Other
monthly sports match ticket payment of 569,Entertainment
DTH recharge cost 1702,Utilities
recharged my magazine subscription with 563,Other
recharged my udemy course with 7736,Education
"paid for stationery, amount was 1904",Education
home repair 542 rupees,Other
monthly donation to charity payment of 706,Gifts & Donations
spent 245 on gift for anniversary,Gifts & Donations
just got amusement park entry for 677,Entertainment
taxi fare cost 5780,Transport
udemy course cost 6993,Education
bought software license for 251 rupees,Other
purchase of concert tickets - 932,Entertainment
purchase of gift for anniversary - 400,Gifts & Donations
bought soap for 576,Personal Care
just got watch for 5959 rs,Shopping
spent 5575 on skincare products,Shopping
monthly fuel for car payment of 2062,Transport
paid 702 rupees for Netflix subscription,Entertainment
subscription service 2862,Utilities
"paid for video game, amount was 460",Entertainment
soap 743 inr,Personal Care
recharged my courier charges with 343,Other
"paid for salon visit, amount was 721",Personal Care
just got contribution to fundraiser for 271 rs,Gifts & Donations
spent 398 on haircut,Personal Care
bought amusement park entry for 950 inr,Entertainment
spent 3578 on uber ride,Transport
"paid for coursera specialization, amount was 6366",Education
"paid for bus ticket, amount was 4882",Transport
just got concert tickets for 285 rs,Entertainment
soap cost 134,Personal Care
just got gym membership for 624,Personal Care
"paid for sports match ticket, amount was 170",Entertainment
recharged my breakfast with 613,Food
purchase of snacks - 127,Food
monthly movie tickets payment of 490,Entertainment
monthly lunch payment of 729,Food
breakfast cost 120,Food
purchase of gym membership - 444,Personal Care
monthly wedding present payment of 295,Gifts & Donations
just got maintenance fee for 1152 rs,Utilities
train ticket 7493 inr,Transport
recharged my fruits with 383,Food
paid 9766 inr for car service,Transport
monthly flight ticket payment of 12566,Transport
gas cylinder 5600 rs,Utilities
recharged my protein powder with 847,Personal Care
donation to charity 265,Gifts & Donations
just got watch for 11250 inr,Shopping
"paid for water bill, amount was 12584",Utilities
recharged my mobile phone with 1184,Shopping
software license cost 106,Other
monthly lab test payment of 1971,Health
bought shampoo for 818 inr,Personal Care
"paid for phone recharge, amount was 11839",Utilities
vegetables cost 520,Food
just got video game for 983 inr,Entertainment
"paid for parking fee, amount was 4605",Transport
paid 753 for pet food,Other
spent 4702 on textbooks,Education
"paid for magazine subscription, amount was 960",Other
bought gas cylinder for 11689 rs,Utilities
monthly exam fee payment of 14478,Education
recharged my new shirt with 11576,Shopping
paid 3393 rs for doctor's visit fee,Health
just got software license for 862,Other
bought bowling with friends for 380 inr,Entertainment
paid 4172 rs for lab test,Health
train ticket 9508 inr,Transport
monthly wedding present payment of 560,Gifts & Donations
parking fee 12889,Transport
lunch cost 904,Food
recharged my bowling with friends with 435,Entertainment
spent 255 on postage stamp,Other
"paid for movie tickets, amount was 441",Entertainment
purchase of stationery - 3629,Education
"paid for salon visit, amount was 317",Personal Care
just got lab test for 3682 inr,Health
monthly doctor's visit fee payment of 1011,Health
monthly DTH recharge payment of 13666,Utilities
bought pet food for 431 inr,Other
bought donation to charity for 860 inr,Gifts & Donations
bought parking fee for 12978,Transport
spent 851 on lunch,Food
purchase of birthday gift - 767,Gifts & Donations
paid 575 rupees for sunglasses,Shopping
just got pen and notebooks for 3601 rupees,Education
monthly contribution to fundraiser payment of 789,Gifts & Donations
purchase of video game - 97,Entertainment
monthly amusement park entry payment of 182,Entertainment
bought hospital bill for 2768 rupees,Health
monthly exam fee payment of 10644,Education
paid 2169 for train ticket,Transport
bought medicines for 1271 rs,Health
Spotify premium 814 inr,Entertainment
monthly cosmetics payment of 715,Personal Care
paid 717 for cosmetics,Personal Care
bought DTH recharge for 8786 rupees,Utilities
amusement park entry cost 487,Entertainment
spent 675 on groceries,Food
monthly headphones payment of 11890,Shopping
spent 1118 on headphones,Shopping
software license 74 rs,Other
groceries cost 227,Food
"paid for vegetables, amount was 78",Food
purchase of band-aids - 164,Health
recharged my haircut with 692,Personal Care
"paid for wedding present, amount was 230",Gifts & Donations
bought soap for 411 inr,Personal Care
recharged my bank fee with 544,Other
spent 286 on restaurant meal,Food
just got gift for 12041 inr,Shopping
just got train ticket for 10420 inr,Transport
"paid for breakfast, amount was 623",Food
purchase of wedding present - 977,Gifts & Donations
monthly internet bill payment of 5762,Utilities
just got contribution to fundraiser for 438 rs,Gifts & Donations
"paid for home decor, amount was 364",Shopping
recharged my health insurance premium with 3684,Health
"paid for parking fee, amount was 9784",Transport
bought electricity bill for 6623 rs,Utilities
just got gym membership for 412,Personal Care
monthly textbooks payment of 11491,Education
recharged my courier charges with 268,Other
bought taxi fare for 9887 rupees,Transport
paid 9547 for skincare products,Shopping
"paid for birthday gift, amount was 129",Gifts & Donations
bought restaurant meal for 406 rs,Food
recharged my movie tickets with 899,Entertainment
paid 4524 rupees for vitamins,Health
contribution to fundraiser 449 inr,Gifts & Donations
just got postage stamp for 700 rs,Other
bought fruits for 764 rs,Food
purchase of Netflix subscription - 558,Entertainment
monthly exam fee payment of 12405,Education
spent 940 on movie tickets,Entertainment
just got book for 3914 rs,Shopping
paid 1224 rupees for taxi fare,Transport
spent 14828 on parking fee,Transport
monthly udemy course payment of 8136,Education
recharged my uber ride with 10868,Transport
just got contribution to fundraiser for 622,Gifts & Donations
recharged my haircut with 392,Personal Care
just got fruits for 390 rupees,Food
restaurant meal 844 inr,Food
purchase of bus ticket - 5664,Transport
video game cost 946,Entertainment
"paid for snacks, amount was 351",Food
spent 6326 on fuel for car,Transport
monthly donation to charity payment of 775,Gifts & Donations
paid 783 for haircut,Personal Care
purchase of hospital bill - 4483,Health
bought soap for 651 rupees,Personal Care
monthly udemy course payment of 9820,Education
paid 11861 rs for home decor,Shopping
paid 910 rupees for lunch,Food
paid 2576 for exam fee,Education
paid 895 for home repair,Other
monthly takeout food payment of 891,Food
bought magazine subscription for 427,Other
online course fee 13764 rs,Education
purchase of headphones - 14422,Shopping
purchase of health insurance premium - 3209,Health
internet bill 12763 rs,Utilities
"paid for snacks, amount was 428",Food
recharged my medicines with 4827,Health
paid 569 inr for amusement park entry,Entertainment
"paid for mobile phone, amount was 5903",Shopping
purchase of jeans - 1950,Shopping
purchase of subscription service - 3556,Utilities
bought software license for 469,Other
monthly movie tickets payment of 81,Entertainment
recharged my udemy course with 5715,Education
purchase of flight ticket - 12471,Transport
spent 990 on gift for anniversary,Gifts & Donations
birthday gift 362 rupees,Gifts & Donations
bought home decor for 14734 rupees,Shopping
bought headphones for 12478 inr,Shopping
monthly auto rickshaw fare payment of 7743,Transport
bought cosmetics for 209,Personal Care
purchase of coffee - 441,Food
"paid for dental checkup, amount was 1712",Health
purchase of skincare products - 3542,Shopping
pen and notebooks 5033,Education
just got uber ride for 2454 inr,Transport
house rent 6804 rs,Utilities
paid 490 rupees for pizza,Food
bought dental checkup for 825,Health
bought snacks for 725,Food
purchase of video game - 650,Entertainment
bought online course fee for 3634 inr,Education
monthly hospital bill payment of 4018,Health
soap 773 rupees,Personal Care
snacks 356 rupees,Food
vitamins cost 688,Health
recharged my electricity bill with 2614,Utilities
bought health insurance premium for 4739,Health
purchase of home decor - 9013,Shopping
just got concert tickets for 277 rupees,Entertainment
monthly parking fee payment of 4919,Transport
contribution to fundraiser 175 rs,Gifts & Donations
bought online course fee for 3526 rupees,Education
jeans cost 14704,Shopping
coursera specialization cost 13390,Education
paid 852 rupees for Netflix subscription,Entertainment
"paid for fuel for car, amount was 7568",Transport
recharged my dental checkup with 4555,Health
bought subscription service for 3773 rs,Utilities
spent 267 on fruits,Food
just got sports match ticket for 340 rs,Entertainment
doctor's visit fee 1643 rs,Health
monthly medicines payment of 2486,Health
postage stamp cost 886,Other
laundry service cost 912,Other
bought snacks for 707,Food
recharged my online course fee with 5402,Education
"paid for band-aids, amount was 2159",Health
bought broadband payment for 4444,Utilities
recharged my health insurance premium with 1209,Health
paid 8138 rupees for textbooks,Education
just got auto rickshaw fare for 13690,Transport
just got Netflix subscription for 664 rupees,Entertainment
spent 14257 on flight ticket,Transport
hospital bill cost 3486,Health
recharged my restaurant meal with 348,Food
medicines 825,Health
purchase of gas cylinder - 7207,Utilities
monthly Netflix subscription payment of 418,Entertainment
purchase of electricity bill - 1308,Utilities
purchase of auto rickshaw fare - 14462,Transport
spent 454 on bank fee,Other
purchase of online course fee - 9222,Education
"paid for cosmetics, amount was 236",Personal Care
paid 2089 inr for stationery,Education
"paid for gym membership, amount was 839",Personal Care
medicines 2687 rupees,Health
monthly contribution to fundraiser payment of 991,Gifts & Donations
purchase of phone recharge - 10457,Utilities
paid 9079 inr for subscription service,Utilities
just got internet bill for 3589,Utilities
just got birthday gift for 294 rs,Gifts & Donations
paid 8098 inr for gift,Shopping
bought water bill for 1765 inr,Utilities
"paid for bowling with friends, amount was 228",Entertainment
spent 370 on laundry service,Other
recharged my pizza with 318,Food
paid 187 rs for software license,Other
spent 509 on gym membership,Personal Care
monthly taxi fare payment of 12390,Transport
house rent 3278 inr,Utilities
purchase of software license - 313,Other
running shoes 2885 rs,Shopping
stationery cost 2029,Education
"paid for gift for anniversary, amount was 615",Gifts & Donations
just got contribution to fundraiser for 121 inr,Gifts & Donations
spent 10927 on headphones,Shopping
bought bus ticket for 6432 inr,Transport
protein powder cost 343,Personal Care
purchase of pastries - 235,Food
recharged my pizza with 447,Food
recharged my sports match ticket with 231,Entertainment
doctor's visit fee cost 3331,Health
spent 372 on flight ticket,Transport
purchase of pet food - 735,Other
spent 4432 on lab test,Health
paid 588 for magazine subscription,Other
purchase of ice cream - 802,Food
spent 919 on Netflix subscription,Entertainment
bowling with friends cost 682,Entertainment
dental checkup cost 4385,Health
paid 277 inr for contribution to fundraiser,Gifts & Donations
monthly udemy course payment of 3660,Education
just got stationery for 3377 rs,Education
protein powder cost 384,Personal Care
"paid for soap, amount was 955",Personal Care
"paid for gas cylinder, amount was 5330",Utilities
recharged my birthday gift with 84,Gifts & Donations
monthly wedding present payment of 993,Gifts & Donations
purchase of broadband payment - 5697,Utilities
"paid for lunch, amount was 193",Food
taxi fare cost 3634,Transport
paid 720 for breakfast,Food
recharged my water bill with 13087,Utilities
"paid for cosmetics, amount was 884",Personal Care
bought dinner with friends for 453 inr,Food
spent 473 on salon visit,Personal Care
purchase of concert tickets - 705,Entertainment
bought sports match ticket for 613 inr,Entertainment
purchase of online course fee - 7853,Education
spent 3216 on headphones,Shopping
spent 10881 on metro card recharge,Transport
spent 422 on software license,Other
just got broadband payment for 5659 rupees,Utilities
just got doctor's visit fee for 3951,Health
bought donation to charity for 364 rs,Gifts & Donations
spent 129 on doctor's visit fee,Health
recharged my skincare products with 6062,Shopping
"paid for pastries, amount was 398",Food
purchase of protein powder - 855,Personal Care
uber ride 14629 rs,Transport
courier charges cost 590,Other
bought soap for 970 inr,Personal Care
purchase of ice cream - 109,Food
paid 849 inr for snacks,Food
sports match ticket 314,Entertainment
just got train ticket for 7110 rupees,Transport
monthly gift for anniversary payment of 963,Gifts & Donations
"paid for house rent, amount was 3297",Utilities
paid 927 for sports match ticket,Entertainment
paid 2483 rupees for home decor,Shopping
